Label	Predicted	Score
Ankle boot	Ankle boot	0.91533774
Ankle boot	Ankle boot	0.9997285
Coat	Coat	0.9996754
Pullover	Pullover	0.9998634
Sandal	Sandal	0.9999348
Sneaker	Sneaker	0.99921906
T-shirt/top	T-shirt/top	0.77110827
Sandal	Sandal	0.99998856
Pullover	Pullover	0.9996811
Bag	Bag	0.99996865
Shirt	Shirt	0.40343085
Sneaker	Sneaker	0.88446486
Bag	Bag	0.9999814
T-shirt/top	T-shirt/top	0.99884534
T-shirt/top	T-shirt/top	0.99973816
Ankle boot	Ankle boot	0.965173
Ankle boot	Ankle boot	0.9997973
Dress	Dress	0.97752905
T-shirt/top	T-shirt/top	0.9670866
Bag	Bag	0.9997912
Coat	Coat	0.80680853
Trouser	Trouser	0.9999981
Sandal	Sandal	0.9997106
Coat	Coat	0.98776
Trouser	Trouser	0.9999999
Ankle boot	Ankle boot	0.9512031
Trouser	Trouser	0.9999956
Bag	Bag	0.99999917
Shirt	Coat	0.5010036
Pullover	Pullover	0.9942924
Trouser	Trouser	1.0
Pullover	Pullover	0.99770904
Sandal	Sandal	0.9992859
Trouser	Trouser	1.0
T-shirt/top	T-shirt/top	0.9275398
T-shirt/top	T-shirt/top	0.9993678
T-shirt/top	T-shirt/top	0.99055964
Trouser	Trouser	0.9999999
Shirt	Shirt	0.93863183
Trouser	Trouser	0.9999964
Shirt	Dress	0.9981567
Pullover	Pullover	0.99993646
Pullover	Pullover	0.99559045
Coat	Dress	0.7509881
Coat	Coat	0.45349652
Trouser	Trouser	0.99999774
Coat	Coat	0.6559142
Sandal	Sandal	0.99996054
T-shirt/top	T-shirt/top	0.5992371
Coat	Coat	0.8311319
Sneaker	Sneaker	0.99221706
Ankle boot	Ankle boot	0.99998486
Dress	Dress	0.99948597
Sneaker	Sneaker	0.9933802
Pullover	Pullover	0.99842393
Dress	Dress	0.8233656
Ankle boot	Ankle boot	0.99875665
T-shirt/top	T-shirt/top	0.9996145
Ankle boot	Ankle boot	0.99998677
Coat	Coat	0.8468055
Sneaker	Ankle boot	0.7419895
Coat	Coat	0.9738274
Pullover	Pullover	0.99931717
T-shirt/top	T-shirt/top	0.7044148
Sandal	Sandal	0.9999765
Pullover	Pullover	0.9069224
Trouser	Trouser	1.0
Pullover	Pullover	0.9953057
Trouser	Trouser	0.99999416
Dress	Dress	0.98775613
T-shirt/top	T-shirt/top	0.9746064
Ankle boot	Ankle boot	0.9999335
Trouser	Trouser	0.9999993
T-shirt/top	T-shirt/top	0.9912656
Ankle boot	Ankle boot	0.99998045
Dress	Dress	0.96037495
Shirt	Shirt	0.85862815
Sneaker	Sneaker	0.99929726
Ankle boot	Ankle boot	0.99995446
Ankle boot	Ankle boot	0.9999583
Coat	Coat	0.9637378
Coat	Coat	0.5797611
Sneaker	Sneaker	0.99528044
Trouser	Trouser	0.99996996
Pullover	Pullover	0.9995552
Trouser	Trouser	0.9980678
Shirt	Shirt	0.9669823
Dress	Dress	0.7666052
Pullover	Pullover	0.99825674
Bag	Bag	0.9999515
Dress	Dress	0.9967213
Shirt	Shirt	0.99760264
Trouser	Trouser	1.0
Trouser	Trouser	0.9999987
T-shirt/top	T-shirt/top	0.9936155
Pullover	Pullover	0.9975176
Ankle boot	Ankle boot	0.99841416
Pullover	Pullover	0.9995845
Coat	Coat	0.98172355
T-shirt/top	T-shirt/top	0.959624
Sneaker	Sneaker	0.98487675
Ankle boot	Ankle boot	0.9999604
Bag	Bag	0.99999857
Coat	Coat	0.9555598
Trouser	Trouser	0.99999964
Bag	Bag	0.99997187
Coat	Coat	0.7342731
Trouser	Trouser	0.9999993
Dress	Dress	0.99922025
Trouser	Trouser	0.99964917
Shirt	Shirt	0.56560946
Sneaker	Sneaker	0.9984674
Pullover	Pullover	0.99850154
Bag	Bag	0.999998
Sandal	Sandal	0.9999974
Pullover	Pullover	0.98606
T-shirt/top	T-shirt/top	0.94654614
Sneaker	Sneaker	0.9978719
Sneaker	Sneaker	0.9913386
Shirt	Shirt	0.990738
Pullover	Pullover	0.9971348
Sneaker	Sneaker	0.9998418
T-shirt/top	T-shirt/top	0.84299636
Sneaker	Sneaker	0.9994199
Bag	Bag	1.0
Ankle boot	Ankle boot	0.9997892
Pullover	Pullover	0.9944477
Ankle boot	Ankle boot	0.9999777
T-shirt/top	T-shirt/top	0.93106365
Sandal	Sandal	0.9999918
Trouser	Trouser	0.99998844
Coat	Coat	0.8913721
Coat	Shirt	0.43903768
Sandal	Sandal	0.9999949
Shirt	Coat	0.6951749
Ankle boot	Ankle boot	0.9984072
Pullover	Pullover	0.9737376
Shirt	Pullover	0.9907258
Bag	Bag	0.99966705
Shirt	Shirt	0.9538698
Coat	Pullover	0.6908642
Pullover	Pullover	0.9790501
Pullover	Pullover	0.99996245
Ankle boot	Ankle boot	0.99675035
Sneaker	Sneaker	0.9997149
Shirt	Shirt	0.7095394
Sandal	Sandal	0.99897707
Sandal	Sandal	0.99999964
Pullover	Pullover	0.930416
Bag	Bag	0.9999981
Sandal	Sandal	0.99999964
Pullover	Pullover	0.99942076
Dress	Dress	0.99503905
T-shirt/top	T-shirt/top	0.983779
Coat	Coat	0.9424584
Bag	Bag	0.9972676
T-shirt/top	T-shirt/top	0.99982315
T-shirt/top	T-shirt/top	0.99876666
Shirt	Shirt	0.7509611
Dress	Dress	0.73154795
Bag	Bag	0.9998054
Ankle boot	Ankle boot	0.9964594
Shirt	Dress	0.6535865
Trouser	Trouser	1.0
Dress	Shirt	0.90199816
T-shirt/top	T-shirt/top	0.9991241
Pullover	Pullover	0.9900317
Dress	Dress	0.99944526
T-shirt/top	T-shirt/top	0.9999305
Bag	Bag	0.98749197
Dress	Dress	0.9976513
Sneaker	Sneaker	0.99954385
Coat	Coat	0.7305751
T-shirt/top	T-shirt/top	0.9998913
Trouser	Trouser	0.9999918
Shirt	Shirt	0.92124945
Dress	Dress	0.9475441
T-shirt/top	T-shirt/top	0.9988734
Shirt	Pullover	0.3597313
Shirt	Shirt	0.8327853
Sneaker	Sneaker	0.9995227
Sandal	Sandal	0.9999291
Coat	Coat	0.657155
Sandal	Sandal	0.99615026
Ankle boot	Ankle boot	0.9999901
Sandal	Sandal	0.99999964
Shirt	Shirt	0.9717824
Sandal	Sandal	1.0
Sandal	Sandal	0.99998915
Trouser	Trouser	0.99998975
Ankle boot	Ankle boot	0.9994017
Bag	Bag	0.9924108
Bag	Bag	0.9818396
Dress	Dress	0.8215708
Dress	Dress	0.9676436
Shirt	Shirt	0.78775495
Bag	Bag	0.99999905
T-shirt/top	T-shirt/top	0.9964623
T-shirt/top	T-shirt/top	0.9731919
Pullover	Pullover	0.9987357
Ankle boot	Ankle boot	0.9997062
Sneaker	Sneaker	0.986624
Sneaker	Ankle boot	0.77285314
Trouser	Trouser	0.9999999
Dress	Dress	0.7740278
Shirt	Shirt	0.50442606
Coat	Coat	0.8965085
Pullover	Pullover	0.8658217
Coat	Pullover	0.73708546
Ankle boot	Ankle boot	0.54362226
Trouser	Trouser	0.9999993
Shirt	Shirt	0.95285666
Coat	Coat	0.96503997
Bag	Bag	0.99997437
Pullover	Pullover	0.99746966
Shirt	Shirt	0.9857918
Sandal	Sandal	0.9999919
Coat	Shirt	0.41942567
Shirt	Pullover	0.8806306
Sneaker	Sneaker	0.9923035
Sneaker	Sneaker	0.99718046
Sneaker	Sneaker	0.99824417
Dress	Dress	0.9963021
Dress	Dress	0.9991917
Sneaker	Sneaker	0.7456967
T-shirt/top	T-shirt/top	0.93789226
Sneaker	Sneaker	0.99953306
Trouser	Trouser	0.9999894
Dress	Dress	0.9981236
Sneaker	Sneaker	0.99373394
Pullover	Pullover	0.9992586
Pullover	Pullover	0.9993048
Dress	Dress	0.9593697
Coat	Coat	0.8111341
T-shirt/top	T-shirt/top	0.773315
Dress	Dress	0.9901585
Trouser	Trouser	0.9999989
Shirt	Shirt	0.794889
Trouser	Trouser	0.99999976
Ankle boot	Ankle boot	0.9999851
Coat	Coat	0.9737785
Ankle boot	Ankle boot	0.99945575
Ankle boot	Ankle boot	0.99999046
Trouser	Trouser	0.9999882
Sneaker	Sneaker	0.9966059
Bag	Bag	0.999819
Dress	Dress	0.9173482
Shirt	Shirt	0.95260966
T-shirt/top	T-shirt/top	0.9967939
Pullover	Pullover	0.99896693
Coat	Coat	0.9175381
Bag	Bag	0.9999999
T-shirt/top	T-shirt/top	0.9779945
Trouser	Trouser	1.0
Pullover	Shirt	0.7832206
Pullover	Pullover	0.983444
Coat	Coat	0.9605378
Coat	Coat	0.97178495
Sneaker	Sneaker	0.99967444
Dress	Dress	0.98970944
Pullover	Pullover	0.9999752
Pullover	Pullover	0.9965687
Sandal	Sandal	0.9999881
T-shirt/top	T-shirt/top	0.88676405
Sneaker	Sneaker	0.9994153
Ankle boot	Ankle boot	0.9982595
Coat	Coat	0.9848946
T-shirt/top	T-shirt/top	0.67812514
Ankle boot	Ankle boot	0.9999846
Dress	Dress	0.99985063
Ankle boot	Ankle boot	0.9997465
Coat	Dress	0.41143683
Pullover	Pullover	0.9707042
Sandal	Sandal	0.99999905
T-shirt/top	Shirt	0.9516352
Pullover	T-shirt/top	0.8881921
Dress	Dress	0.98621815
Sandal	Sandal	0.99999917
Bag	Bag	0.9999981
Trouser	Trouser	1.0
Shirt	Shirt	0.9545416
Pullover	Pullover	0.99828845
Shirt	Shirt	0.5193288
Shirt	Shirt	0.95359594
Coat	Coat	0.9983923
Ankle boot	Ankle boot	0.975272
Sandal	Sandal	0.9999931
Pullover	Pullover	0.9882984
T-shirt/top	T-shirt/top	0.7229084
Coat	Coat	0.6581218
Shirt	Shirt	0.9471363
Trouser	Trouser	0.9999896
Pullover	Pullover	0.9975649
T-shirt/top	T-shirt/top	0.9853939
Ankle boot	Ankle boot	0.99993336
Sneaker	Sneaker	0.9894589
T-shirt/top	T-shirt/top	0.77872306
Coat	Dress	0.6757661
Coat	Coat	0.9778892
Shirt	Shirt	0.6137254
Shirt	T-shirt/top	0.62951416
Pullover	Pullover	0.98962325
Trouser	Trouser	0.9999951
T-shirt/top	Shirt	0.55563074
Shirt	Shirt	0.98442554
Sneaker	Sneaker	0.99823654
Pullover	Pullover	0.79725873
Ankle boot	Ankle boot	0.99995506
Coat	Coat	0.9798609
Pullover	Pullover	0.99972445
Trouser	Trouser	0.9999949
Sandal	Sandal	0.99987316
Coat	Coat	0.972903
Sandal	Sandal	0.99999714
Dress	Dress	0.9938811
Bag	Bag	0.9999875
Sandal	Sandal	0.9999237
Bag	Bag	0.99999917
Coat	Coat	0.98015493
Coat	Coat	0.9837767
Bag	Bag	0.9999993
Ankle boot	Ankle boot	0.99990463
Bag	Bag	0.9999951
Shirt	Shirt	0.94231755
Pullover	Pullover	0.99591184
Coat	Coat	0.9777934
Coat	Coat	0.94301033
Pullover	Pullover	0.9987332
Coat	Coat	0.87191063
Trouser	Trouser	0.99999774
Shirt	Shirt	0.97260946
Trouser	Trouser	1.0
Dress	Dress	0.9990681
T-shirt/top	T-shirt/top	0.96095836
Ankle boot	Sneaker	0.85596853
Bag	Bag	0.9999918
Bag	Bag	0.9999956
Shirt	Coat	0.6173952
Sandal	Sandal	0.992486
Dress	Dress	0.9943434
Trouser	Trouser	0.9999999
Ankle boot	Ankle boot	0.99964106
Sandal	Sandal	0.99995756
Dress	Dress	0.9751433
Dress	Dress	0.9566677
T-shirt/top	T-shirt/top	0.5197117
Trouser	Trouser	0.99999857
T-shirt/top	Shirt	0.6199403
Pullover	Pullover	0.992777
Ankle boot	Ankle boot	0.99992967
Pullover	Pullover	0.8458027
T-shirt/top	T-shirt/top	0.98706806
Shirt	Shirt	0.6451355
Dress	Dress	0.44204488
Coat	Coat	0.95827365
Pullover	Pullover	0.99907696
T-shirt/top	T-shirt/top	0.99484694
T-shirt/top	T-shirt/top	0.9963696
Dress	Dress	0.990378
Dress	Dress	0.9980774
Bag	Bag	0.99956614
Pullover	Pullover	0.9984786
Bag	Bag	1.0
Ankle boot	Ankle boot	0.99943084
Coat	Coat	0.8909903
T-shirt/top	T-shirt/top	0.99928635
Sneaker	Sneaker	0.6509817
Shirt	Shirt	0.87496686
Coat	Coat	0.98677546
Coat	Coat	0.42116016
Ankle boot	Ankle boot	0.9898309
Pullover	Pullover	0.60858995
Ankle boot	Ankle boot	0.9999361
Sandal	Sandal	0.9756732
Ankle boot	Ankle boot	0.99997437
Dress	Dress	0.9988758
Sneaker	Sneaker	0.7851803
Sandal	Sandal	0.99996996
Sneaker	Ankle boot	0.84732026
Bag	Bag	0.9999106
Trouser	Trouser	0.99999654
T-shirt/top	T-shirt/top	0.61047673
T-shirt/top	T-shirt/top	0.9999852
Dress	Shirt	0.42986494
Coat	Coat	0.9832597
Bag	Bag	0.9999616
Ankle boot	Ankle boot	0.9990652
Sneaker	Sneaker	0.9984749
Ankle boot	Ankle boot	0.9475805
Trouser	Trouser	1.0
Pullover	Pullover	0.99970406
Sneaker	Ankle boot	0.6077216
T-shirt/top	T-shirt/top	0.97810817
Pullover	Pullover	0.99700123
T-shirt/top	T-shirt/top	0.98725814
Sandal	Sandal	0.9778516
Sneaker	Sneaker	0.53794557
Trouser	Trouser	0.9999994
Bag	Bag	0.9999999
Pullover	Pullover	0.9997061
Pullover	Pullover	0.9981797
Pullover	Pullover	0.99831843
Pullover	Pullover	0.9999485
Coat	Coat	0.9072396
Pullover	Pullover	0.58591294
Shirt	Shirt	0.85413915
Trouser	Trouser	0.9999974
Ankle boot	Ankle boot	0.9999578
Bag	Bag	0.99999774
Sandal	Sandal	0.9999987
Trouser	Trouser	0.99999905
Ankle boot	Ankle boot	0.9999883
Trouser	Trouser	0.99999905
Pullover	Pullover	0.99847263
Bag	Bag	0.9999995
Dress	Dress	0.9994917
Bag	Bag	0.99998415
Ankle boot	Ankle boot	0.9993137
Pullover	Pullover	0.9992899
Coat	Coat	0.9189197
Pullover	Pullover	0.9948565
Bag	Bag	0.9999995
Bag	Pullover	0.38390446
Pullover	Pullover	0.9980621
T-shirt/top	T-shirt/top	0.80808794
Sandal	Sandal	0.99999964
Bag	Bag	0.99999964
Bag	Bag	0.99999714
Sandal	Sandal	0.99999976
Dress	T-shirt/top	0.81046736
Ankle boot	Ankle boot	0.99999547
Coat	Coat	0.9952231
Dress	Dress	0.99818915
Coat	Coat	0.93039906
Coat	Pullover	0.7890419
Sandal	Sandal	0.9999958
Trouser	Trouser	1.0
T-shirt/top	T-shirt/top	0.99850035
Trouser	Trouser	0.99999976
Pullover	Pullover	0.9948832
T-shirt/top	T-shirt/top	0.99668497
Shirt	Pullover	0.42326826
Ankle boot	Ankle boot	0.9999924
Shirt	Shirt	0.97082347
Trouser	Trouser	0.99999857
Sandal	Sandal	0.88012946
Trouser	Trouser	0.9999502
Trouser	Trouser	0.999985
Trouser	Trouser	0.9999999
Ankle boot	Ankle boot	0.9999826
Dress	Dress	0.95293653
Coat	Coat	0.48874396
Sandal	Sandal	0.99999
Dress	Dress	0.7434216
Shirt	Shirt	0.68396866
Shirt	Shirt	0.89246756
Shirt	Shirt	0.75728655
Coat	Coat	0.8452866
Shirt	Shirt	0.8037893
T-shirt/top	T-shirt/top	0.9934127
Sandal	Sandal	0.999605
Bag	Bag	0.99999833
Dress	Shirt	0.42130268
Dress	Shirt	0.45876527
Coat	Coat	0.8330939
Shirt	Shirt	0.84222937
Sneaker	Ankle boot	0.52083063
Sneaker	Sneaker	0.99756014
Bag	Bag	0.99999964
Ankle boot	Ankle boot	0.9997712
T-shirt/top	T-shirt/top	0.95193744
Dress	Shirt	0.8071031
Bag	Bag	0.99971026
Sneaker	Sneaker	0.9912708
Shirt	Shirt	0.9864579
Sneaker	Sneaker	0.9140764
Ankle boot	Ankle boot	0.9999008
Dress	Dress	0.988091
Coat	Pullover	0.8004021
Shirt	Shirt	0.85889864
Shirt	T-shirt/top	0.73249584
Sandal	Sandal	0.99999976
T-shirt/top	T-shirt/top	0.9882179
Trouser	Trouser	0.99999976
Trouser	Trouser	0.9999795
Sandal	Sandal	0.9999937
Ankle boot	Ankle boot	0.99987173
Coat	Dress	0.98521245
Shirt	Shirt	0.7927616
Sandal	Sandal	0.9999119
Sneaker	Sneaker	0.99120694
Bag	Bag	0.99961346
Trouser	Trouser	0.99999785
Pullover	Shirt	0.59059715
Ankle boot	Ankle boot	0.999987
Sneaker	Sneaker	0.60665154
Sneaker	Sneaker	0.999897
Trouser	Trouser	0.9999989
T-shirt/top	T-shirt/top	0.9976017
Ankle boot	Ankle boot	0.9999815
Dress	Shirt	0.86851484
Pullover	Pullover	0.9883165
Ankle boot	Ankle boot	0.99991035
T-shirt/top	T-shirt/top	0.9942878
Sneaker	Sneaker	0.9969217
Shirt	Shirt	0.7767991
Bag	Bag	0.9999944
Pullover	Pullover	0.9986059
Sneaker	Sneaker	0.9939865
T-shirt/top	T-shirt/top	0.7764764
Pullover	Pullover	0.9996991
Dress	Dress	0.9655664
Bag	Bag	0.999899
Pullover	Pullover	0.9967996
Pullover	Pullover	0.9637095
Shirt	Shirt	0.8870014
Ankle boot	Ankle boot	0.94684935
Dress	Dress	0.6263085
T-shirt/top	T-shirt/top	0.9993923
Sneaker	Sneaker	0.99979025
Bag	Bag	0.99999905
Shirt	T-shirt/top	0.5650271
Pullover	Pullover	0.9752231
Ankle boot	Ankle boot	0.98966026
Coat	Coat	0.9952974
Pullover	Pullover	0.9862229
Shirt	Shirt	0.99024814
Shirt	Coat	0.6982271
Bag	Trouser	0.38051906
T-shirt/top	T-shirt/top	0.99826604
Coat	Shirt	0.671804
Coat	Coat	0.99867487
Coat	Coat	0.6027724
Sneaker	Sneaker	0.9064046
Sandal	Sandal	0.99725795
Bag	Bag	0.99999654
Coat	Coat	0.9749355
Ankle boot	Ankle boot	0.9999958
Trouser	Trouser	1.0
T-shirt/top	T-shirt/top	0.9123011
Sandal	Sandal	0.99999154
Coat	Coat	0.9998956
Coat	Coat	0.99787724
Coat	Coat	0.9749287
T-shirt/top	T-shirt/top	0.9757933
T-shirt/top	T-shirt/top	0.99225557
Coat	Coat	0.9911923
Sandal	Sandal	0.99951065
Shirt	Shirt	0.72781956
T-shirt/top	T-shirt/top	0.99577785
Coat	Coat	0.9959116
Sandal	Sandal	0.9997454
Coat	Coat	0.6800218
Trouser	Trouser	0.99999785
Dress	Dress	0.32541308
Trouser	Trouser	0.99999976
Trouser	Trouser	0.9997068
Shirt	Shirt	0.85353327
Coat	Pullover	0.38593784
Dress	Dress	0.99903834
Bag	Bag	0.99758625
Pullover	Pullover	0.99758804
Bag	Bag	0.73917484
Pullover	Shirt	0.41724333
Sneaker	Sneaker	0.9236906
T-shirt/top	T-shirt/top	0.99981207
Coat	Coat	0.91300076
T-shirt/top	Dress	0.55733967
Bag	Bag	0.9999995
Sandal	Sandal	0.9999963
T-shirt/top	T-shirt/top	0.97835976
Bag	Bag	0.9999975
Pullover	Pullover	0.9991015
Ankle boot	Ankle boot	0.99987423
T-shirt/top	Pullover	0.65489453
Bag	Bag	0.99999976
Ankle boot	Ankle boot	0.9979208
Shirt	Shirt	0.98080266
Coat	Coat	0.8018788
Pullover	Pullover	0.9906879
Ankle boot	Ankle boot	0.9993704
Dress	Shirt	0.8648472
Coat	Coat	0.86747336
Sandal	Sandal	0.99997807
T-shirt/top	T-shirt/top	0.9909416
Ankle boot	Ankle boot	0.99989367
Sandal	Sandal	0.9999875
Dress	Dress	0.99950004
Shirt	Shirt	0.99453497
Shirt	Shirt	0.9428688
Bag	Bag	0.99998176
Dress	Dress	0.9491499
Dress	Dress	0.9742168
Bag	Bag	0.9999999
Trouser	Trouser	0.9932138
Coat	Coat	0.74395806
T-shirt/top	T-shirt/top	0.9915383
Ankle boot	Ankle boot	0.999992
Sneaker	Sneaker	0.7777355
Ankle boot	Ankle boot	0.9912254
Coat	Coat	0.9803885
Bag	Bag	0.9999808
Ankle boot	Ankle boot	0.99983823
Trouser	Trouser	1.0
Shirt	T-shirt/top	0.89649826
Sneaker	Sneaker	0.9898914
Dress	Bag	0.6066662
T-shirt/top	T-shirt/top	0.9986432
Pullover	Pullover	0.9946696
Shirt	Shirt	0.8990382
Sneaker	Ankle boot	0.55774206
Trouser	Trouser	1.0
T-shirt/top	T-shirt/top	0.98915523
T-shirt/top	T-shirt/top	0.78516525
Bag	Bag	0.9999995
Sandal	Sneaker	0.673053
Pullover	Pullover	0.9998221
Shirt	Coat	0.77093667
Shirt	Shirt	0.9933488
Shirt	Shirt	0.6804331
Coat	Coat	0.94237655
Trouser	Trouser	0.99999976
Sandal	Sandal	0.99993336
Ankle boot	Ankle boot	0.9999794
T-shirt/top	T-shirt/top	0.9847868
Pullover	T-shirt/top	0.9295976
Trouser	Trouser	0.9999912
Shirt	Shirt	0.9987404
Sandal	Sandal	0.99993527
T-shirt/top	T-shirt/top	0.6761456
T-shirt/top	T-shirt/top	0.94312143
Dress	Dress	0.94548166
Dress	Dress	0.9983718
Dress	Dress	0.999894
Bag	Bag	0.99998105
Trouser	Trouser	0.99997175
Trouser	Trouser	0.9998492
Bag	Bag	0.9989944
Sandal	Sandal	0.99991393
Sneaker	Sneaker	0.9996977
Sneaker	Ankle boot	0.9608986
Bag	Bag	0.9999821
Sneaker	Sneaker	0.9831603
Pullover	Pullover	0.99188226
T-shirt/top	T-shirt/top	0.81290907
Sneaker	Sneaker	0.9992193
Dress	T-shirt/top	0.82067853
Bag	Bag	0.99999964
T-shirt/top	T-shirt/top	0.99984527
Ankle boot	Ankle boot	0.9998385
Sneaker	Sneaker	0.9966499
Shirt	Coat	0.8236574
Trouser	Trouser	1.0
Pullover	T-shirt/top	0.5922882
Shirt	Shirt	0.6875822
Coat	Pullover	0.5564622
Bag	Bag	0.999998
T-shirt/top	T-shirt/top	0.6826172
Shirt	Shirt	0.77369493
Dress	Dress	0.9992729
Shirt	Shirt	0.9703059
Bag	Bag	0.99987626
Coat	Coat	0.99020374
T-shirt/top	T-shirt/top	0.9892041
Bag	Bag	0.99999905
Ankle boot	Ankle boot	0.9989807
Pullover	Pullover	0.9998258
Coat	Coat	0.97985405
Sandal	Sandal	0.9999696
Ankle boot	Ankle boot	0.9999881
Trouser	Trouser	0.9999993
Coat	Coat	0.9956267
Coat	Coat	0.9974227
Ankle boot	Ankle boot	0.99998164
Pullover	Pullover	0.99895287
Trouser	Trouser	0.99997246
Sneaker	Sneaker	0.9777205
Ankle boot	Ankle boot	0.99997365
Sandal	Sandal	0.9995152
Bag	Bag	0.9999993
Trouser	Dress	0.99964833
Sneaker	Ankle boot	0.5482986
Sneaker	Sneaker	0.9986896
Trouser	Trouser	0.9999976
Trouser	Trouser	0.99999964
Trouser	Trouser	1.0
Shirt	Shirt	0.8473901
Ankle boot	Ankle boot	0.9930067
Sandal	Sandal	0.99937564
Dress	Dress	0.98924035
Bag	Bag	0.99999964
Coat	Pullover	0.71727455
Pullover	Pullover	0.98959947
Sneaker	Ankle boot	0.8981939
Coat	Coat	0.76183814
Bag	Bag	0.99999976
Dress	Dress	0.9889048
Pullover	Pullover	0.999566
Coat	Coat	0.93841374
Coat	Coat	0.7630508
Sneaker	Sneaker	0.9975062
Trouser	Trouser	0.9999727
Coat	Coat	0.9805407
Ankle boot	Ankle boot	0.99999523
Dress	Dress	0.9899817
Sandal	Sandal	0.99999964
Bag	Bag	0.99999774
Sandal	Sandal	0.9999974
Coat	Pullover	0.92948276
Sneaker	Sneaker	0.72888577
Pullover	Pullover	0.9775883
Bag	Bag	0.99998915
Sandal	Sandal	0.9999933
Ankle boot	Ankle boot	0.9994837
Dress	Dress	0.9293033
Dress	Dress	0.99985814
Shirt	Shirt	0.8143108
Sneaker	Sneaker	0.69377965
Trouser	Trouser	0.9999999
Sneaker	Sneaker	0.8298447
Dress	Dress	0.87905633
Sandal	Sandal	0.9958187
Coat	Pullover	0.7466658
Coat	Coat	0.70660675
Sandal	Sandal	0.97997767
Bag	Bag	0.99991095
Dress	Dress	0.999739
Sneaker	Ankle boot	0.7299969
Trouser	Trouser	1.0
Pullover	Pullover	0.99637055
Shirt	Shirt	0.5952555
Trouser	Trouser	0.9999999
Ankle boot	Ankle boot	0.99999845
Bag	Bag	0.99999046
Pullover	Pullover	0.9992181
Sneaker	Sneaker	0.9990656
Trouser	Trouser	0.9999994
Dress	Dress	0.95122975
Sneaker	Sneaker	0.99434763
